fileName,ChatgptScore,UntrainedLlama2Score,Llama2ManualScore,Llama2ChatgptScore
15.json,2,0,0,2
113.json,2,0,0,0
114.json,0,0,0,0
132.json,2,0,0,0
137.json,2,0,0,0
143.json,2,0,2,2
187.json,0,0,0,0
208.json,0,0,0,0
245.json,2,0,0,0
279.json,0,0,0,0
425.json,2,0,0,0
453.json,0,0,0,0
462.json,2,0,0,0
502.json,2,0,0,0
526.json,2,0,2,0
536.json,2,0,0,0
614.json,2,0,0,0
616.json,2,0,0,1a
636.json,0,0,0,0
661.json,0,0,0,0
662.json,0,0,0,0
722.json,2,0,0,0
780.json,2,0,0,0
794.json,0,0,0,0
797.json,0,0,0,0
805.json,2,0,0,0
870.json,2,0,0,0
922.json,2,0,0,0
955.json,2,0,0,0
990.json,0,0,0,0
998.json,0,0,0,0
1004.json,2,0,0,0
1014.json,0,0,0,0
1023.json,2,0,0,0
1032.json,2,0,2,0
1044.json,2,0,0,0
1095.json,2,0,0,0
1098.json,2,0,0,0
1142.json,0,0,0,0
1166.json,0,0,0,0
1195.json,2,0,0,0
1214.json,2,0,2,1a
1252.json,0,0,0,0
1302.json,2,0,0,0
1310.json,0,1a,0,0
1312.json,0,0,0,0
1316.json,2,0,0,0
1463.json,0,0,0,2
1467.json,1a,0,0,0
1468.json,0,0,0,0
1485.json,2,0,0,0
1490.json,2,0,0,0
1543.json,2,0,0,0
1616.json,0,0,0,0
1639.json,2,0,0,0
1678.json,2,0,0,0
1713.json,2,0,0,0
1770.json,0,0,0,0
1789.json,2,0,0,0
1806.json,0,0,0,0
1820.json,2,0,0,0
1828.json,0,0,0,0
1838.json,2,0,0,2
1850.json,2,0,0,0
1884.json,0,0,0,0
1900.json,0,1a,0,0
1936.json,2,0,1a,0
1960.json,2,0,0,0
1973.json,2,0,0,0
2008.json,0,0,0,0
2017.json,0,0,0,0
2019.json,0,0,0,0
2025.json,2,0,0,0
2046.json,0,0,0,0
2050.json,2,0,0,0
2051.json,0,0,0,0
2076.json,0,0,0,0
2082.json,0,0,0,0
2101.json,0,0,0,0
2122.json,1a,0,0,0
2127.json,2,0,0,0
2150.json,0,0,0,0
2195.json,2,0,0,0
2226.json,0,0,0,0
2253.json,0,0,0,0
2298.json,0,0,0,0
2305.json,0,0,0,0
2391.json,2,0,0,0
2412.json,0,0,0,0
2416.json,0,0,0,0
2475.json,0,0,0,0
2480.json,2,0,0,0
2555.json,2,0,0,0
2556.json,0,0,0,0
2593.json,0,0,0,0
2649.json,2,0,0,0
2691.json,0,0,0,0
2710.json,0,0,0,0
2712.json,2,0,0,0
2827.json,2,0,0,0
