fileName,ChatgptScore,UntrainedLlama2Score,Llama2ManualScore,Llama2ChatgptScore
15.json,-1,-1,-1,-1
113.json,-1,-1,-1,-1
114.json,-1,-1,-1,-1
132.json,-1,-1,-1,-1
137.json,-1,-1,-1,-1
143.json,-1,-1,-1,-1
187.json,-1,-1,-1,-1
208.json,-1,-1,-1,-1
245.json,-1,-1,-1,-1
279.json,-1,-1,-1,-1
425.json,-1,-1,-1,-1
453.json,-1,-1,-1,-1
462.json,-1,-1,-1,-1
502.json,-1,-1,-1,-1
526.json,-1,-1,-1,-1
536.json,-1,-1,-1,-1
614.json,-1,-1,-1,-1
616.json,-1,-1,-1,-1
636.json,-1,-1,-1,-1
661.json,-1,-1,-1,-1
662.json,-1,-1,-1,-1
722.json,-1,-1,-1,-1
780.json,-1,-1,-1,-1
794.json,-1,-1,-1,-1
797.json,-1,-1,-1,-1
805.json,-1,-1,-1,-1
870.json,-1,-1,-1,-1
922.json,-1,-1,-1,-1
955.json,-1,-1,-1,-1
990.json,-1,-1,-1,-1
998.json,-1,-1,-1,-1
1004.json,-1,-1,-1,-1
1014.json,-1,-1,-1,-1
1023.json,-1,-1,-1,-1
1032.json,-1,-1,-1,-1
1044.json,-1,-1,-1,-1
1095.json,-1,-1,-1,-1
1098.json,-1,-1,-1,-1
1142.json,-1,-1,-1,-1
1166.json,-1,-1,-1,-1
1195.json,-1,-1,-1,-1
1214.json,-1,-1,-1,-1
1252.json,-1,-1,-1,-1
1302.json,-1,-1,-1,-1
1310.json,-1,-1,-1,-1
1312.json,-1,-1,-1,-1
1316.json,-1,-1,-1,-1
1463.json,-1,-1,-1,-1
1467.json,-1,-1,-1,-1
1468.json,-1,-1,-1,-1
1485.json,-1,-1,-1,-1
1490.json,-1,-1,-1,-1
1543.json,-1,-1,-1,-1
1616.json,-1,-1,-1,-1
1639.json,-1,-1,-1,-1
1678.json,-1,-1,-1,-1
1713.json,-1,-1,-1,-1
1770.json,-1,-1,-1,-1
1789.json,-1,-1,-1,-1
1806.json,-1,-1,-1,-1
1820.json,-1,-1,-1,-1
1828.json,-1,-1,-1,-1
1838.json,-1,-1,-1,-1
1850.json,-1,-1,-1,-1
1884.json,-1,-1,-1,-1
1900.json,-1,-1,-1,-1
1936.json,-1,-1,-1,-1
1960.json,-1,-1,-1,-1
1973.json,-1,-1,-1,-1
2008.json,-1,-1,-1,-1
2017.json,-1,-1,-1,-1
2019.json,-1,-1,-1,-1
2025.json,-1,-1,-1,-1
2046.json,-1,-1,-1,-1
2050.json,-1,-1,-1,-1
2051.json,-1,-1,-1,-1
2076.json,-1,-1,-1,-1
2082.json,-1,-1,-1,-1
2101.json,-1,-1,-1,-1
2122.json,-1,-1,-1,-1
2127.json,-1,-1,-1,-1
2150.json,-1,-1,-1,-1
2195.json,-1,-1,-1,-1
2226.json,-1,-1,-1,-1
2253.json,-1,-1,-1,-1
2298.json,-1,-1,-1,-1
2305.json,-1,-1,-1,-1
2391.json,-1,-1,-1,-1
2412.json,-1,-1,-1,-1
2416.json,-1,-1,-1,-1
2475.json,-1,-1,-1,-1
2480.json,-1,-1,-1,-1
2555.json,-1,-1,-1,-1
2556.json,-1,-1,-1,-1
2593.json,-1,-1,-1,-1
2649.json,-1,-1,-1,-1
2691.json,-1,-1,-1,-1
2710.json,-1,-1,-1,-1
2712.json,-1,-1,-1,-1
2827.json,-1,-1,-1,-1
